"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.091966667E-2,-6.330179586E-1,1.392629305E0,-8.757696480E-1,1.762696966E0
2.094466667E-2,-7.857386068E-1,1.995551206E0,-6.404689193E-2,2.145626198E0
3.097066667E-2,-1.117652587E0,2.403506180E0,4.885202497E-1,2.695299853E0
4.099566667E-2,-1.174832363E0,1.389953327E-1,2.356954157E-1,1.206276549E0
5.102166667E-2,-8.562823400E-1,-3.084414150E0,-2.628001839E-1,3.211836552E0
6.104666667E-2,-2.638189150E-1,-3.657922218E0,7.388576782E-1,3.741110268E0
7.107266667E-2,3.964593476E-1,-2.342025046E0,1.767560082E0,2.960832649E0
8.109866668E-2,9.021087232E-1,-3.172918484E-1,2.416915015E0,2.599221509E0
9.112366667E-2,1.192362169E0,1.217179214E0,1.391484128E0,2.199882011E0
1.011496667E-1,8.628880857E-1,1.683424788E0,1.718496680E-1,1.899480765E0
1.111746667E-1,3.024536981E-1,1.837655919E0,1.766416367E0,2.566843255E0
1.212006667E-1,2.921124952E-1,6.528088832E-1,1.425019079E0,1.594417927E0
1.312266667E-1,2.035460354E-1,-4.341990316E-1,3.632956946E-1,6.016174443E-1
1.412516667E-1,4.022358119E-1,-9.333629680E-1,-4.937008828E-1,1.129911784E0
1.512776667E-1,7.300859045E-1,-1.301259837E0,-1.351328375E0,2.013055133E0
1.613026667E-1,1.103700327E0,-1.331990463E0,-3.310658419E-1,1.761237519E0
1.713286667E-1,1.243987529E0,-1.109732241E0,4.656161213E-1,1.730840545E0
1.813536667E-1,1.332837432E0,-4.231071559E-1,5.257342690E-1,1.493945049E0
1.913796667E-1,1.272125792E0,3.294265750E-1,3.413627887E-1,1.357701901E0
2.014056667E-1,1.027314933E0,5.600360826E-1,3.491255522E-2,1.170570490E0
2.114306667E-1,6.481583002E-1,6.182714269E-2,-7.576880515E-2,6.554942330E-1
2.214566667E-1,3.965996808E-1,-6.216671973E-1,-2.246646434E-1,7.708667933E-1
2.314816667E-1,7.926261152E-1,-8.438733789E-1,2.169860798E-1,1.177905513E0
2.415076667E-1,1.619767613E0,-8.702308729E-1,-1.832856524E-1,1.847848079E0
2.515326667E-1,1.330456300E0,-1.770613060E0,-8.133517903E-1,2.359390961E0
2.615586667E-1,1.014652568E0,-2.167851402E0,1.247345585E-1,2.396801670E0
2.715846667E-1,1.670722882E0,-1.552219116E0,1.498180026E0,2.728597172E0
2.816096667E-1,1.825257336E0,-1.160645410E0,1.972913126E0,2.927635277E0
2.916356667E-1,2.151386228E0,-9.183832785E-1,1.959295546E0,3.051348814E0
3.016606667E-1,2.400027379E0,-2.211987063E-1,1.175641179E0,2.681639884E0
3.116866667E-1,1.945056552E0,-3.518560557E-1,-2.763977669E0,3.398031818E0
3.217116667E-1,2.211412136E0,-6.886548002E-1,-2.386207193E0,3.325443404E0
3.317376667E-1,2.882026522E0,-1.808046788E-2,-4.697325611E-1,2.920111719E0
3.417636667E-1,2.329725428E0,-3.545125920E-1,6.925091386E-1,2.456189866E0
3.517886667E-1,2.061307824E0,-8.042166853E-1,1.819120245E0,2.864428894E0
3.618146667E-1,1.940424973E0,-7.325125721E-1,1.104915013E0,2.350034240E0
3.718396667E-1,2.053544184E0,1.040213817E-1,1.816361529E0,2.743543943E0
3.818656667E-1,1.917196470E0,1.190975210E0,2.871906745E-1,2.275201692E0
3.918906667E-1,-4.903524747E-1,9.845003772E-1,-1.213128263E0,1.637487931E0
4.019166667E-1,-1.595938017E0,-1.372536226E0,1.557294792E0,2.618404269E0
4.119426667E-1,-3.951285213E-1,-3.672787594E0,4.571177781E-2,3.694263773E0
4.219676667E-1,3.131192753E-1,-1.711441430E0,-3.837950386E0,4.213898268E0
